Name,Current Price,MRP,Discount,Delivery,Stars,Rating,Reviews
"Cellecor STEW 1.83"" BT Calling, 500 NITS, AI Voice Assi...",₹999,"₹3,999",75% off,Free delivery,4.2,"3,696 Ratings ", 263 Reviews
"Nervfit Maverick 1.78"" AMOLED Smart Watch with AOD, BT ...","₹2,184","₹19,999",89% off,Free delivery,4,21 Ratings , 7 Reviews
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500 Nits Brig...","₹1,499","₹8,499",82% off,Free delivery,4.1,"3,29,421 Ratings "," 19,269 Reviews"
"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...","₹1,499","₹11,999",87% off,Free delivery,4,"1,44,769 Ratings "," 14,252 Reviews"
Fastrack FR1|1.39 inch Super UltraVU Display(360*360)|A...,"₹1,795","₹5,995",70% off,Free delivery,4.2,"13,796 Ratings ", 751 Reviews
Noise Evolve 4 1.46 AMOLED Always On Display with Premi...,"₹2,999","₹7,999",62% off,Free delivery,4.3,"4,750 Ratings ", 329 Reviews
"Noise 1.96"" Amoled Display with AI Watch Faces & AI Com...","₹7,499","₹10,499",28% off,Free delivery,4,225 Ratings , 21 Reviews
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,"₹1,499","₹2,995",49% off,Free delivery,4.3,"27,827 Ratings "," 1,552 Reviews"
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","₹1,999","₹6,999",71% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
"boAt Lunar Discovery w/ Turn by Turn Navigation, 3.53 c...","₹1,499","₹8,499",82% off,Free delivery,4,"7,756 Ratings ", 522 Reviews
"Fastrack FS1 Pro|World's First,1.96"" Super AMOLED|Highe...","₹2,695","₹7,995",66% off,Free delivery,4.3,"1,37,227 Ratings "," 9,217 Reviews"
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099","₹7,999",86% off,Free delivery,4.1,"3,29,421 Ratings "," 19,269 Reviews"
"Nervfit New Launch Phoenix Sports 1.85"" LED, Solid Buil...","₹2,119","₹10,999",80% off,Free delivery,3.3,N/A,N/A
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,"₹1,399","₹14,999",90% off,Free delivery,4.1,"3,80,667 Ratings "," 46,716 Reviews"
"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Funct...","₹1,499","₹6,999",78% off,Free delivery,4.1,"8,366 Ratings ", 628 Reviews
"Nervfit Vibe 1.85"" Display, BT Calls, Waterproof, HR/BP...","₹1,498","₹7,999",81% off,Free delivery,4.4,105 Ratings , 64 Reviews
"Noise Icon 4 with Stunning 1.96'' Display, Metallic Fin...","₹1,999","₹6,999",71% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
"alt OG Bluetooth Calling, 1.69"" HD Display with AI Voic...",₹999,"₹6,999",85% off,Free delivery,4,"44,741 Ratings "," 3,925 Reviews"
"GameSir H9 2.01"" Display Amoled, Bluetooth calling, Hea...",₹914,"₹3,999",77% off,Free delivery,4,64 Ratings , 2 Reviews
boAt 3.86 cm(1.52'') HD Display & Advanced Bluetooth Ca...,"₹1,599","₹7,999",80% off,Free delivery,4,"42,862 Ratings "," 2,569 Reviews"
"Fire-Boltt Cobra 45.2mm (1.78) AMOLED Army Grade Build,...","₹1,279","₹19,999",93% off,Free delivery,3.9,"77,186 Ratings "," 14,534 Reviews"
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,₹685,"₹2,999",77% off,Free delivery,3.6,"5,069 Ratings ", 176 Reviews
"Melbon H20 Ultra Bluetooth calling, Phone Book,Music Co...","₹1,283","₹2,999",57% off,Free delivery,3.6,579 Ratings , 10 Reviews
Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...,"₹1,599","₹6,999",77% off,Free delivery,4.1,"7,31,021 Ratings "," 40,745 Reviews"
Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,"₹1,499","₹3,995",62% off,Free delivery,4.7,N/A,N/A
"GameSir T500 Pro Max Stay Connected with YouTube, Faceb...",₹717,"₹2,999",76% off,Free delivery,3.3,"1,906 Ratings ", 54 Reviews
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...","₹1,329","₹6,999",81% off,Free delivery,4.1,"28,376 Ratings "," 2,341 Reviews"
Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,Free delivery,4.1,"66,114 Ratings "," 3,707 Reviews"
"Noise Vortex Plus, 1.46'' AMOLED Display, BT Calling, S...","₹2,199","₹6,999",68% off,Free delivery,4.2,"98,393 Ratings "," 7,315 Reviews"
"Boult Dire 1.38'' 2.5D Curved HD Display, 500Nits, 250+...","₹1,499","₹4,999",70% off,Free delivery,4,"1,971 Ratings ", 130 Reviews
"Cellecor RAY 1.43"" AMOLED Display | 700 NITS | AOD | BT...",₹999,"₹8,999",88% off,Free delivery,4.2,523 Ratings , 72 Reviews
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...","₹1,299","₹6,999",81% off,Free delivery,4.1,"28,376 Ratings "," 2,341 Reviews"
"Noise Halo 2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stai...","₹4,499","₹6,999",35% off,Free delivery,4.2,"1,492 Ratings ", 142 Reviews
Fastrack FS1-1.83''|BT Calling|Fast Charge|110+ Sports ...,"₹1,499","₹3,995",62% off,Free delivery,4.2,"3,16,085 Ratings "," 20,634 Reviews"
